"","URL"
"252","https://www.sport.de/ninja-warrior/pe705747/liz-baffoe/"
"253","https://www.sport.de/ninja-warrior/pe686484/alexej-balzer/"
"254","https://www.sport.de/ninja-warrior/pe686563/samara-bannikov/"
"255","https://www.sport.de/ninja-warrior/pe686506/marcelk-baer/"
"256","https://www.sport.de/ninja-warrior/pe686377/edgar-luis-barrenechea-arias/"
"257","https://www.sport.de/ninja-warrior/pe686320/dennis-barth/"
"258","https://www.sport.de/ninja-warrior/pe686427/natalie-baertschi/"
"259","https://www.sport.de/fussball/pe40661/mario-basler/"
"260","https://www.sport.de/ninja-warrior/pe686526/daniela-baumann/"
"261","https://www.sport.de/ninja-warrior/pe686248/omid-bayat/"
"262","https://www.sport.de/ninja-warrior/pe686370/aleksandra-beese/"
"263","https://www.sport.de/ninja-warrior/pe686353/oliver-bergerhausen/"
"264","https://www.sport.de/ninja-warrior/pe686182/jessica-bertermann/"
"265","https://www.sport.de/ninja-warrior/pe686492/robert-blankenburg/"
"266","https://www.sport.de/ninja-warrior/pe686435/christian-blietz/"
"267","https://www.sport.de/ninja-warrior/pe686385/marlene-bohny/"
"268","https://www.sport.de/ninja-warrior/pe686429/rene-boerner/"
"269","https://www.sport.de/ninja-warrior/pe35221/philipp-boy/"
"270","https://www.sport.de/beachvolleyball/pe32435/julius-brink/"
"271","https://www.sport.de/fussball/pe41109/ansgar-brinkmann/"
"272","https://www.sport.de/ninja-warrior/pe686539/daniel-brinkschroeder/"
"273","https://www.sport.de/ninja-warrior/pe686516/rene-brockmueller/"
"274","https://www.sport.de/ninja-warrior/pe686575/maximilian-brunner/"
"275","https://www.sport.de/ninja-warrior/pe686505/simon-brunner/"
"276","https://www.sport.de/ninja-warrior/pe686372/florian-buechner/"
"277","https://www.sport.de/ninja-warrior/pe686514/david-burnell/"
"278","https://www.sport.de/ninja-warrior/pe686462/sam-buersner/"
"279","https://www.sport.de/ninja-warrior/pe686482/ardian-cakay/"
"280","https://www.sport.de/ninja-warrior/pe705718/isaac-caldiero/"
"281","https://www.sport.de/ninja-warrior/pe686464/line-calgaro/"
"282","https://www.sport.de/ninja-warrior/pe686416/christian-cambeis/"
"283","https://www.sport.de/ninja-warrior/pe686567/taner-can/"
"284","https://www.sport.de/ninja-warrior/pe686500/mario-capun/"
